,city,region,country,lng,lat,population,continent
7140,Sittwe,Rakhine State,MM,92.8969,20.1444,181000,AF
7141,Siuna,Caribe Norte,NI,-84.7667,13.7333,73730,EU
7142,Siuntio,Uusimaa,FI,24.2167,60.1333,6182,NA
7143,Sivas,Sivas,TR,37.0167,39.75,108320,AS
7144,Sivaslı,Uşak,TR,29.6808,38.4996,6911,AF
7145,Siverek,Şanlıurfa,TR,39.3167,37.75,27527,EU
7146,Sivrihisar,Eskişehir,TR,31.5367,39.451,7442,SA
7147,Siyang,Guizhou,CN,108.7463,27.2116,38261,EU
7148,Siyəzən,Siyəzən,AZ,49.1061,41.0783,18655,AS
7149,Siátista,Dytikí Makedonía,GR,21.5522,40.2564,5490,NA
7150,Siófok,Somogy,HU,18.05,46.9,25461,EU
7151,Siġġiewi,Siġġiewi,MT,14.4383,35.8542,8367,AS
7152,Sjenica,Sjenica,RS,20.0,43.2667,14060,AS
7153,Skadovsk,Khersons’ka Oblast’,UA,32.9167,46.1167,17344,AS
7154,Skalica,Trnavský,SK,17.2264,48.8436,14967,AS
7155,Skellefteå,Västerbotten,SE,20.85,64.65,31311,AS
7156,Ski,Akershus,NO,10.8939,59.7419,30843,AS
7157,Skien,Telemark,NO,9.5528,59.2081,55144,EU
7158,Skierniewice,Łódzkie,PL,20.1417,51.9528,47837,EU
7159,Skikda,Skikda,DZ,6.9,36.8667,163318,EU
7160,Skopje,Skopje,MK,21.4333,41.9833,640000,EU
7161,Skuodas,Skuodas,LT,21.5333,56.2667,5083,EU
7162,Skvyra,Kyyivs’ka Oblast’,UA,29.6833,49.7333,15889,EU
7163,Skövde,Västra Götaland,SE,13.8538,58.3995,39543,EU
7164,Skýdra,Kentrikí Makedonía,GR,22.15,40.7667,5406,EU
7165,Slatina,Olt,RO,24.3642,44.4297,70293,EU
7166,Slatina,Virovitičko-Podravska Županija,HR,17.7,45.7,10208,EU
7167,Slavonski Brod,Brodsko-Posavska Županija,HR,18.0144,45.1553,56769,AF
7168,Slavyansk-na-Kubani,Krasnodarskiy Kray,RU,38.1247,45.2586,66285,EU
7169,Slawharad,Mahilyowskaya Voblasts’,BY,30.9964,53.4453,7928,EU
7170,Sliedrecht,Zuid-Holland,NL,4.7744,51.8222,25026,EU
7171,Sliema,Sliema,MT,14.5042,35.9122,16854,EU
7172,Sligo,Sligo,IE,-8.4833,54.2667,19199,EU
7173,Sliven,Sliven,BG,26.326,42.6781,89540,EU
7174,Slivnitsa,Sofia,BG,23.0383,42.8515,7131,EU
7175,Slobozia,Ialomiţa,RO,27.3661,44.5639,45891,EU
7176,Slochteren,Groningen,NL,6.8,53.2167,14737,EU
7177,Slonim,Hrodzyenskaya Voblasts’,BY,25.3167,53.0833,49830,EU
7178,Slovenj Gradec,Slovenj Gradec,SI,15.079,46.5093,7249,EU
7179,Slovenska Bistrica,Slovenska Bistrica,SI,15.5707,46.3941,8219,EU
7180,Slovenske Konjice,Slovenske Konjice,SI,15.421,46.3362,5157,EU
7181,Slutsk,Minskaya Voblasts’,BY,27.55,53.0167,61396,EU
7182,Smarhon’,Hrodzyenskaya Voblasts’,BY,26.4,54.4836,36202,EU
7183,Smila,Cherkas’ka Oblast’,UA,31.8667,49.2167,68536,EU
7184,Smiltene,Smiltenes Novads,LV,25.9064,57.4242,5151,EU
7185,Smolensk,Smolenskaya Oblast’,RU,32.0453,54.7828,329853,EU
7186,Smolyan,Smolyan,BG,24.7128,41.5753,28541,EU
7187,Sneek,Fryslân,NL,5.66,53.0325,33855,EU
7188,Sniatyn,Ivano-Frankivs’ka Oblast’,UA,25.5667,48.45,9942,EU
7189,Snina,Prešovský,SK,22.1567,48.9881,19855,EU
7190,Soacha,Cundinamarca,CO,-74.2144,4.5781,522442,EU
7191,Soatá,Boyacá,CO,-72.6839,6.3328,7255,EU
7192,Sobral de Monte Agraço,Lisboa,PT,-9.15,39.0167,10156,EU
7193,Sobrance,Košický,SK,22.179,48.746,6170,EU
7194,Socha,Boyacá,CO,-72.6922,5.9978,7140,EU
7195,Socopó,Barinas,VE,-70.8206,8.2322,110512,EU
7196,Socorro,Santander,CO,-73.27,6.4603,24895,EU
7197,Sodankylä,Lappi,FI,26.5907,67.4149,8782,EU
7198,Soeng Sang,Nakhon Ratchasima,TH,102.4606,14.4264,7756,SA
7199,Soest,North Rhine-Westphalia,DE,8.1092,51.5711,47460,SA
7200,Soest,Utrecht,NL,5.2833,52.1833,46194,EU
7201,Sofia,Sofia-Grad,BG,23.3217,42.6979,1277411,EU
7202,Sofifi,Maluku Utara,ID,127.5806,0.7244,2000,SA
7203,Sofiivka,Dnipropetrovs’ka Oblast’,UA,33.8937,48.0727,6748,SA
7204,Sogamoso,Boyacá,CO,-72.9339,5.7143,114486,SA
7205,Sogndal,Sogn og Fjordane,NO,7.1006,61.2297,11938,EU
7206,Soignies,Wallonia,BE,4.0667,50.5667,27603,AS
7207,Soissons,Hauts-de-France,FR,3.3236,49.3817,28522,EU
7208,Sokcho,Gangwon,KR,128.5911,38.2083,79846,EU
7209,Sokhumi,Abkhazia,GE,41.0153,43.0033,64441,EU
7210,Sokobanja,Sokobanja,RS,21.8694,43.6394,7982,AS
7211,Sokodé,Centrale,TG,1.1333,8.9833,113000,EU
7212,Sokoto,Sokoto,NG,5.2339,13.0622,427760,SA
7213,Sola,Rogaland,NO,5.6286,58.88,27457,EU
7214,Solano,Caquetá,CO,-75.2539,0.6983,25546,EU
7215,Soledad,Atlántico,CO,-74.77,10.92,698852,EU
7216,Soledad Atzompa,Veracruz,MX,-97.1522,18.755,23130,AS
7217,Soledad de Doblado,Veracruz,MX,-96.4233,19.0447,27770,AS
7218,Soledad de Graciano Sánchez,San Luis Potosí,MX,-100.9333,22.1833,332072,EU
7219,Solin,Splitsko-Dalmatinska Županija,HR,16.4947,43.5317,23926,AF
7220,Solingen,North Rhine-Westphalia,DE,7.0833,51.1667,159360,AF
7221,Sololá,Sololá,GT,-91.1833,14.7667,63973,EU
7222,Solone,Dnipropetrovs’ka Oblast’,UA,34.8686,48.2054,7628,SA
7223,Solosuchiapa,Chiapas,MX,-93.0167,17.4,8082,SA
7224,Solothurn,Solothurn,CH,7.5375,47.2081,16777,NA
7225,Solwezi,North-Western,ZM,26.4,-12.1833,65000,NA
7226,Soma,Manisa,TR,27.6056,39.1833,18633,NA
7227,Sombor,Sombor,RS,19.12,45.78,51471,EU
7228,Sombrerete,Zacatecas,MX,-103.6397,23.6333,21702,EU
